user_id,timestamp,product_id,action
user_0130,2025-10-31T07:05:18.600508Z,ACCDSY8EAED5TGZY,view
user_0130,2025-10-31T08:31:18.600508Z,BBAE2YHCGG47BPH3,click
user_0130,2025-10-31T09:00:18.600508Z,BBAEY9YKJHHPGZCE,purchase
user_0130,2025-10-31T09:27:18.600508Z,BBAEYB4V9HHXVVHE,click
user_0130,2025-10-31T10:08:18.600508Z,ACCDSY8EYXYYYYVK,view
user_0130,2025-10-31T10:10:18.600508Z,ACCDSY8EAED5TGZY,click
user_0248,2025-10-31T13:15:18.600508Z,PTPE6GZRTJJCSURV,view
user_0248,2025-10-31T13:33:18.600508Z,PTPE6GZRTJJCSURV,view
user_0130,2025-10-31T13:34:18.600508Z,BBAEY9YKJHHPGZCE,view
user_0486,2025-10-31T13:36:18.600508Z,ETHEGQHFCMWFZUNK,view
user_0130,2025-10-31T13:41:18.600508Z,ACCDSY8EYXYYYYVK,view
user_0248,2025-10-31T14:16:18.600508Z,SHOEA34KZWVUAJUZ,view
user_0248,2025-10-31T14:29:18.600508Z,SNDEHZPDXUBEHF5V,purchase
user_0486,2025-10-31T14:48:18.600508Z,ETHEGQHFCMWFZUNK,view
user_0486,2025-10-31T14:58:18.600508Z,TSHEA48ZXH82HTUD,click
user_0486,2025-10-31T15:09:18.600508Z,FAFEGVSJGFU5B9VH,click
user_0248,2025-10-31T15:16:18.600508Z,TSHE3YHBGYYEDCAF,purchase
user_0248,2025-10-31T15:17:18.600508Z,PTPE6GZRTJJCSURV,view
user_0130,2025-10-31T15:32:18.600508Z,ACCDSY8EYXYYYYVK,click
user_0248,2025-10-31T16:19:18.600508Z,SHVEFAS3RT9N63BU,view
user_0486,2025-10-31T16:21:18.600508Z,NKCEANMPKCEZADTJ,view
user_0486,2025-10-31T17:05:18.600508Z,ETHEGQHFCMWFZUNK,view
user_0248,2025-10-31T18:07:18.600508Z,SHVEFAS3RT9N63BU,view
user_0130,2025-10-31T18:10:18.600508Z,BBAE9YU4VNAVMKEN,view
user_0248,2025-10-31T18:23:18.600508Z,PTPE6GZRTJJCSURV,click
user_0248,2025-10-31T20:48:18.600508Z,SHVEFAS3RT9N63BU,view
user_0248,2025-10-31T21:18:18.600508Z,HDNEDVWY7YJTQZAZ,view
user_0248,2025-10-31T21:24:18.600508Z,NKCEASCZVVYGPQNQ,view
user_0248,2025-10-31T21:43:18.600508Z,SHIED8T6GSTTYVBA,view
user_0248,2025-10-31T21:52:18.600508Z,BRAECTFYYHQPFG4Q,view
user_0470,2025-10-31T22:30:18.600508Z,TOPEBF34XN8DBHQP,click
user_0321,2025-10-31T22:48:18.600508Z,ACCE8C3YU6JDREMH,view
user_0321,2025-10-31T22:52:18.600508Z,ACCE8C3YU6JDREMH,view
user_0470,2025-10-31T23:24:18.600508Z,TPYEGGGZHDFZWZ2X,click
user_0470,2025-10-31T23:33:18.600508Z,TPYEGGGZHDFZWZ2X,click
user_0470,2025-10-31T23:37:18.600508Z,TPYEGGDXBBM74U5V,click
user_0321,2025-10-31T23:47:18.600508Z,SHTE96UAPYZHBYRY,view
user_0470,2025-10-31T23:48:18.600508Z,DREE978EGZCF7DX8,view
user_0470,2025-11-01T00:03:18.600508Z,TOPEBF34XN8DBHQP,view
user_0321,2025-11-01T00:24:18.600508Z,STIEYZ5SXHXTMGGQ,purchase
user_0321,2025-11-01T01:20:18.600508Z,ACCE8C3YU6JDREMH,view
user_0248,2025-11-01T02:09:18.600508Z,SHVEFAS3RT9N63BU,click
user_0470,2025-11-01T02:21:18.600508Z,CRNEG8DDPSWTHEMH,purchase
user_0248,2025-11-01T02:35:18.600508Z,SHVEFAS3RT9N63BU,click
user_0470,2025-11-01T02:37:18.600508Z,RUGEHKBZ2SS8TH6Q,click
user_0470,2025-11-01T02:39:18.600508Z,TPYEGGGZHDFZWZ2X,view
user_0470,2025-11-01T02:45:18.600508Z,TOPEBF34XN8DBHQP,view
user_0321,2025-11-01T03:38:18.600508Z,RTRE3F95FDUDKB8Z,click
user_0470,2025-11-01T03:43:18.600508Z,TPYEGGGZHDFZWZ2X,view
user_0278,2025-11-01T04:01:18.600508Z,KTAEG4P2NNNBDRMT,view
user_0278,2025-11-01T04:25:18.600508Z,KTAEG4P2NNNBDRMT,view
user_0470,2025-11-01T04:32:18.600508Z,MUGEBFGFYPAT5BQE,purchase
user_0278,2025-11-01T04:36:18.600508Z,KTAEG4P2NNNBDRMT,purchase
user_0470,2025-11-01T04:56:18.600508Z,TOPEBF34XN8DBHQP,click
user_0278,2025-11-01T05:13:18.600508Z,TSHE7AX3XQVJHY8J,view
user_0470,2025-11-01T05:14:18.600508Z,TPYEGGDXBBM74U5V,purchase
user_0321,2025-11-01T06:03:18.600508Z,ACCE87C2Q7Y7YARB,view
user_0278,2025-11-01T06:05:18.600508Z,KTAEG4P2NNNBDRMT,click
user_0278,2025-11-01T06:16:18.600508Z,KTAEG4P2NNNBDRMT,purchase
user_0470,2025-11-01T06:39:18.600508Z,TOPEBF34XN8DBHQP,view
user_0248,2025-11-01T06:42:18.600508Z,PTPE6GZRTJJCSURV,view
user_0278,2025-11-01T07:05:18.600508Z,SNDEC9REFMEKRZYT,view
user_0470,2025-11-01T07:29:18.600508Z,ETYEFRFG7G6FKP8H,purchase
user_0470,2025-11-01T07:44:18.600508Z,TOPEBF34XN8DBHQP,view
user_0278,2025-11-01T08:30:18.600508Z,NKCEAPCVJKG8J283,view
user_0248,2025-11-01T08:56:18.600508Z,PTPE6GZRTJJCSURV,click
user_0492,2025-11-01T09:03:18.600508Z,LJGE4YPS8AZZVFQ2,view
user_0472,2025-11-01T09:09:18.600508Z,SHOE632JZBF4EF2H,purchase
user_0472,2025-11-01T09:09:18.600508Z,KRTE7RMRRGYZSAET,click
user_0321,2025-11-01T09:27:18.600508Z,TSHEGBWFQABQT9T8,view
user_0278,2025-11-01T10:08:18.600508Z,KTAEG4P2NNNBDRMT,view
